Date,Error
2017-04-23,70
2017-04-24,33
2017-04-25,51
2017-04-26,104
2017-04-27,54
2017-04-28,42
2017-04-29,51
2017-04-30,84
2017-05-01,116
2017-05-02,247
2017-05-03,132
2017-05-04,107
2017-05-05,133
2017-05-06,137
2017-05-07,113
2017-05-08,105
2017-05-09,40
2017-05-10,33
2017-05-11,28
2017-05-12,42
2017-05-13,58
2017-05-14,46
2017-05-15,32
2017-05-16,40
2017-05-17,48
2017-05-18,41
2017-05-19,34
2017-05-20,36
2017-05-21,32
2017-05-22,25
2017-05-23,13
2017-05-24,42
2017-05-25,87
2017-05-26,66
2017-05-27,51
2017-05-28,52
2017-05-29,32
2017-05-30,42
2017-05-31,55
2017-06-01,26
2017-06-02,30
2017-06-03,41
2017-06-04,81
2017-06-05,27
2017-06-06,45
2017-06-07,72
2017-06-08,32
2017-06-09,9
2017-06-10,20
2017-06-11,25
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,8
2017-07-06,22
2017-07-07,33
2017-07-08,23
2017-07-09,54
2017-07-10,56
2017-07-11,27
2017-07-12,66
2017-07-13,31
2017-07-14,13
2017-07-15,8
2017-07-16,36
2017-07-17,34
2017-07-18,48
2017-07-19,35
2017-07-20,45
2017-07-21,45
2017-07-22,74
2017-07-23,18
2017-07-24,60
2017-07-25,60
2017-07-26,84
2017-07-27,51
2017-07-28,55
2017-07-29,57
2017-07-30,22
2017-07-31,37
2017-08-01,42
2017-08-02,44
2017-08-03,31
2017-08-04,34
2017-08-05,66
2017-08-06,69
2017-08-07,59
2017-08-08,72
2017-08-09,36
2017-08-10,36
2017-08-11,62
2017-08-12,26
2017-08-13,11
2017-08-14,22
2017-08-15,50
2017-08-16,45
2017-08-17,43
2017-08-18,40
2017-08-19,20
2017-08-20,83
2017-08-21,70
2017-08-22,43
2017-08-23,39
2017-08-24,60
2017-08-25,53
2017-08-26,18
2017-08-27,41
2017-08-28,77
2017-08-29,55
2017-08-30,68
2017-08-31,25
2017-09-01,75
2017-09-02,85
2017-09-03,28
2017-09-04,35
2017-09-05,23
2017-09-06,24
2017-09-07,27
2017-09-08,64
2017-09-09,59
2017-09-10,54
2017-09-11,23
2017-09-12,62
2017-09-13,93
2017-09-14,25
2017-09-15,14
2017-09-16,16
2017-09-17,64
2017-09-18,115
2017-09-19,33
2017-09-20,46
2017-09-21,44
2017-09-22,49
2017-09-23,44
2017-09-24,46
2017-09-25,30
2017-09-26,31
2017-09-27,20
2017-09-28,17
2017-09-29,31
2017-09-30,44
2017-10-01,29
2017-10-02,42
2017-10-03,116
2017-10-04,31
2017-10-05,35
2017-10-06,92
2017-10-07,52
2017-10-08,71
2017-10-09,71
2017-10-10,225
2017-10-11,84
2017-10-12,98
2017-10-13,45
2017-10-14,61
2017-10-15,54
2017-10-16,133
2017-10-17,95
2017-10-18,80
2017-10-19,110
2017-10-20,75
2017-10-21,77
2017-10-22,43
2017-10-23,34
2017-10-24,57
2017-10-25,34
2017-10-26,35
2017-10-27,27
2017-10-28,27
2017-10-29,111
2017-10-30,20
2017-10-31,27
2017-11-01,53
2017-11-02,36
2017-11-03,16
2017-11-04,24
2017-11-05,53
2017-11-06,71
2017-11-07,71
2017-11-08,97
2017-11-09,67
2017-11-10,53
2017-11-11,22
2017-11-12,50
2017-11-13,46
2017-11-14,53
2017-11-15,31
2017-11-16,25
2017-11-17,48
2017-11-18,47
2017-11-19,43
2017-11-20,42
2017-11-21,48
2017-11-22,74
2017-11-23,91
2017-11-24,19
2017-11-25,31
2017-11-26,26
2017-11-27,25
2017-11-28,30
2017-11-29,37
2017-11-30,52
2017-12-01,38
2017-12-02,34
2017-12-03,31
2017-12-04,51
2017-12-05,42
2017-12-06,42
2017-12-07,33
2017-12-08,20
2017-12-09,30
2017-12-10,42
2017-12-11,44
2017-12-12,17
2017-12-13,27
2017-12-14,86
2017-12-15,43
2017-12-16,102
2017-12-17,94
2017-12-18,51
2017-12-19,46
2017-12-20,26
2017-12-21,39
2017-12-22,33
2017-12-23,82
2017-12-24,36
2017-12-25,49
2017-12-26,26
2017-12-27,33
2017-12-28,34
2017-12-29,27
2017-12-30,41
2017-12-31,55
2018-01-01,78
2018-01-02,45
2018-01-03,37
2018-01-04,22
2018-01-05,16
2018-01-06,82
2018-01-07,66
2018-01-08,43
2018-01-09,76
2018-01-10,42
2018-01-11,75
2018-01-12,70
2018-01-13,34
2018-01-14,110
2018-01-15,156
2018-01-16,103
2018-01-17,48
2018-01-18,29
2018-01-19,39
2018-01-20,75
2018-01-21,44
2018-01-22,25
2018-01-23,54
2018-01-24,26
2018-01-25,123
2018-01-26,113
2018-01-27,35
2018-01-28,15
2018-01-29,48
2018-01-30,57
2018-01-31,27
2018-02-01,40
2018-02-02,26
2018-02-03,34
2018-02-04,11
2018-02-05,13
2018-02-06,27
2018-02-07,26
2018-02-08,55
2018-02-09,35
2018-02-10,29
2018-02-11,65
2018-02-12,68
2018-02-13,22
2018-02-14,31
2018-02-15,17
2018-02-16,19
2018-02-17,28
2018-02-18,52
